Feature,Importance
area_sq_yards,0.31755271287578996
location_DHA,0.22134476960363297
location_Clifton,0.2188607516620648
location_Korangi,0.05750791680345613
location_Gulshan-e-Iqbal,0.047690383026292645
location_Malir,0.04553565893825197
property_type_Flat,0.0374259063333615
property_type_Penthouse,0.020396604344306384
property_type_House,0.014940587262101988
room_density,0.004583815416157212
bedrooms,0.003979963790635555
location_Bahria Town,0.0038318960620937646
bathrooms,0.003148034480716171
location_North Nazimabad,0.0023255552647547064
location_Federal B Area,0.0008754441363841976
